"cmpdname","SMILES","UseGroup","DTXSID","CAS","InChIKey","n_danube_sites_detected"
"(3-Chloro-2-hydroxypropyl)trimethylammonium","C[N+](C)(C)CC(O)CCl","industrial","DTXSID50274618","82914-58-7","XIUCEANTZSXBQQ-UHFFFAOYSA-N",1
"1,2-Benzisothiazolinone","O=c1[nH]sc2ccccc12","biocide","DTXSID5032523","2634-33-5","DMSMPAJRVJJAGA-UHFFFAOYSA-N",1
"1,3-Dimethyl-2-imidazolidinone","CN1CCN(C)C1=O","industrial","DTXSID1073153","80-73-9","CYSGHNMQYZDMIA-UHFFFAOYSA-N",6
"1,3-Diphenylguanidine","NC(=Nc1ccccc1)Nc1ccccc1","industrial","DTXSID3025178","102-06-7","OWRCNXZUPFZXOS-UHFFFAOYSA-N",99
"1,3-Diphenylurea","O=C(Nc1ccccc1)Nc1ccccc1",NA,"DTXSID2025183","102-07-8","GWEHVDNNLFDJLR-UHFFFAOYSA-N",19
"1,5-Naphthalenediamine","Nc1cccc2c(N)cccc12","industrial","DTXSID3020916","2243-62-1","KQSABULTKYLFEV-UHFFFAOYSA-N",9
"1,7-Diaminophenazine","Nc1ccc2nc3c(N)cccc3nc2c1",NA,"DTXSID70182403","28124-29-0","FRPNYDRHOLAYDZ-UHFFFAOYSA-N",3
"1-(3-carboxypropyl)-3,7-dimethylxanthine","Cn1cnc2c1c(=O)n(CCCC(=O)O)c(=O)n2C","pharmaceutical","DTXSID40215232","6493-07-8","WKASGTGXOGALBG-UHFFFAOYSA-N",71
"1-Benzylpiperazine","c1ccc(CN2CCNCC2)cc1","stimulans","DTXSID0022197","2759-28-6","IQXXEPZFOOTTBA-UHFFFAOYSA-N",2
"1-Butyl-3-methyl-imidazolium","CCCCn1cc[n+](C)c1","industrial","DTXSID6047238","80432-08-2","IQQRAVYLUAZUGX-UHFFFAOYSA-N",34
"1-Cyclohexyl-3-phenylurea","O=C(Nc1ccccc1)NC1CCCCC1",NA,"DTXSID90877268","886-59-9","WPLYTRWMCWBZEN-UHFFFAOYSA-N",18
"1-Dodecanesulfonic acid","CCCCCCCCCCCCS(=O)(=O)O",NA,"DTXSID3073262","1510-16-3","LDMOEFOXLIZJOW-UHFFFAOYSA-N",7
"1-Ethyl-3-methyl-imidazolium","CCn1cc[n+](C)c1","industrial","DTXSID9048069","65039-03-4","NJMWOUFKYKNWDW-UHFFFAOYSA-N",105
"1-Hexanesulfonic acid","CCCCCCS(=O)(=O)O",NA,"DTXSID20275556","13595-73-8","FYAQQULBLMNGAH-UHFFFAOYSA-N",3
"10,11-Dihydro-10,11-dihydroxycarbamazepine","NC(=O)N1c2ccccc2C(O)C(O)c2ccccc21","pharmaceutical","DTXSID30891504","35079-97-1","PRGQOPPDPVELEG-UHFFFAOYSA-N",101
"10,11-Dihydro-10-hydroxycarbamazepine","NC(=O)N1c2ccccc2CC(O)c2ccccc21","pharmaceutical","DTXSID50865484","29331-92-8","BMPDWHIDQYTSHX-UHFFFAOYSA-N",66
"1H-Benzotriazole","c1ccc2n[nH]nc2c1","corrosion inhibitor","DTXSID6020147","95-14-7","QRUDEWIWKLJBPS-UHFFFAOYSA-N",99
"2(4-morpholinyl)benzothiazole","c1ccc2sc(N3CCOCC3)nc2c1","rubber additive","DTXSID90891505","4225-26-7","VVUVJGRVEYHIHC-UHFFFAOYSA-N",2
"2,2,6,6-Tetramethyl-4 piperidone","CC1(C)CC(=O)CC(C)(C)N1","industrial","DTXSID4041527","826-36-8","JWUXJYZVKZKLTJ-UHFFFAOYSA-N",25
"2,2,6,6-Tetramethylpiperidin-4-ol","CC1(C)CC(O)CC(C)(C)N1","industrial","DTXSID3029655","2403-88-5","VDVUCLWJZJHFAV-UHFFFAOYSA-N",17
"2,3-Epoxypropyltrimethylammonium","C[N+](C)(C)CC1CO1","industrial","DTXSID0045046","45633-15-6","LRQFRDLKOBFOSG-UHFFFAOYSA-N",5
"2,4-Dichlorobenzoic acid","O=C(O)c1ccc(Cl)cc1Cl","pesticide","DTXSID0024977","50-84-0","ATCRIUVQKHMXSH-UHFFFAOYSA-N",6
"2,4-Dichlorophenol","Oc1ccc(Cl)cc1Cl","industrial","DTXSID1020439","120-83-2","HFZWRUODUSTPEG-UHFFFAOYSA-N",16
"2,4-Dichlorophenoxyacetic acid","O=C(O)COc1ccc(Cl)cc1Cl","pesticide","DTXSID0020442","94-75-7","OVSKIKFHRZPJSS-UHFFFAOYSA-N",17
"2,4-Dinitrophenol","O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1","industrial","DTXSID0020523","51-28-5","UFBJCMHMOXMLKC-UHFFFAOYSA-N",5
"2,6-Dichlorobenzamide","NC(=O)c1c(Cl)cccc1Cl","pesticide","DTXSID7022170","2008-58-4","JHSPCUHPSIUQRB-UHFFFAOYSA-N",1
"2-(2-(2-Methoxyethoxy)ethoxy)ethanol","COCCOCCOCCO","industrial","DTXSID5026912","112-35-6","JLGLQAWTXXGVEM-UHFFFAOYSA-N",20
"2-(2-Pyridyl)ethanol","OCCc1ccccn1","industrial","DTXSID2044767","103-74-2","BXGYBSJAZFGIPX-UHFFFAOYSA-N",28
"2-(Methylthio)benzothiazole","CSc1nc2ccccc2s1","rubber additive","DTXSID70274236","615-22-5","UTBVIMLZIRIFFR-UHFFFAOYSA-N",8
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP)","Cn1c(N)nc2ncc(-c3ccccc3)cc21","food ingredient","DTXSID3037628","105650-23-5","UQVKZNNCIHJZLS-UHFFFAOYSA-N",2
"2-Aminobenzimidazole","Nc1nc2ccccc2[nH]1","pesticide","DTXSID1024465","934-32-7","JWYUFVNJZUSCSM-UHFFFAOYSA-N",7
"2-Benzothiazolesulfonic acid","O=S(=O)(O)c1nc2ccccc2s1","rubber additive","DTXSID80240528","941-57-1","ZCXGMSGCBDSEOY-UHFFFAOYSA-N",49
"2-Hydroxyatrazine","CCNc1nc(NC(C)C)[nH]c(=O)n1","pesticide","DTXSID6037807","2163-68-0","NFMIMWNQWAWNDW-UHFFFAOYSA-N",71
"2-Hydroxybenzothiazole","Oc1nc2ccccc2s1","rubber additive","DTXSID6061315","934-34-9","YEDUAINPPJYDJZ-UHFFFAOYSA-N",9
"2-Hydroxycarbamazepine","NC(=O)N1c2ccccc2C=Cc2cc(O)ccc21","pharmaceutical","DTXSID20218201","68011-66-5","VPZIYMMSJFWLSP-UHFFFAOYSA-N",80
"2-Hydroxydesethylterbuthylazine","CC(C)(C)Nc1nc(N)nc(O)n1","pesticide","DTXSID60216887","66753-06-8","NUISVCFZNCYUIM-UHFFFAOYSA-N",15
"2-Hydroxyquinoline","O=c1ccc2ccccc2[nH]1","industrial","DTXSID1058769","59-31-4","LISFMEBWQUVKPJ-UHFFFAOYSA-N",29
"2-Isopropyl-6-methyl-pyrimidin-4-ol","Cc1cc(=O)[nH]c(C(C)C)n1","biocide","DTXSID1027502","2814-20-2","AJPIUNPJBFBUKK-UHFFFAOYSA-N",36
"2-Isopropylthioxanthone","CC(C)c1ccc2sc3ccccc3c(=O)c2c1","industrial","DTXSID1044691","5495-84-1","KTALPKYXQZGAEG-UHFFFAOYSA-N",2
"2-Methylbenzothiazole","Cc1nc2ccccc2s1","industrial","DTXSID8049208","120-75-2","DXYYSGDWQCSKKO-UHFFFAOYSA-N",2
"2-Naphthalene sulfonic acid","O=S(=O)(O)c1ccc2ccccc2c1","industrial","DTXSID5044788","120-18-3","KVBGVZZKJNLNJU-UHFFFAOYSA-N",28
"2-Naphthol-8-sulfonic acid","O=S(=O)(O)c1cccc2ccc(O)cc12","industrial","DTXSID9059626","132-57-0","HUYJTJXLNBOVFO-UHFFFAOYSA-N",2
"2-Octyl-4-isothiazolin-3-one","CCCCCCCCn1sccc1=O","biocide","DTXSID1025805","26530-20-1","JPMIIZHYYWMHDT-UHFFFAOYSA-N",2
"3,5,6-Trichloro-2-pyridinol","Oc1nc(Cl)c(Cl)cc1Cl","pesticide","DTXSID7038317","6515-38-4","WCYYAQFQZQEUEN-UHFFFAOYSA-N",1
"3-Cyclohexyl-1,1-dimethylurea","CN(C)C(=O)NC1CCCCC1",NA,"DTXSID60404681","31468-12-9","PZWXYRDNQYUIIU-UHFFFAOYSA-N",5
"4'-Aminoacetanilide","CC(=O)Nc1ccc(N)cc1","industrial","DTXSID7024455","122-80-5","CHMBIJAOCISYEW-UHFFFAOYSA-N",106
"4,4'-Methylene-bis(2-methyl aniline)","Cc1cc(Cc2ccc(N)c(C)c2)ccc1N","industrial","DTXSID5020867","838-88-0","WECDUOXQLAIPQW-UHFFFAOYSA-N",5
"4-(Dimethylamino)pyridine","CN(C)c1cc[nH+]cc1","industrial","DTXSID0044369","1122-58-3","VHYFNPMBLIVWCW-UHFFFAOYSA-N",44
"4-Aminoantipyrine","Cc1c(N)c(=O)n(-c2ccccc2)n1C","pharmaceutical","DTXSID8048860","83-07-8","RLFWWDJHLFCNIJ-UHFFFAOYSA-N",20
"4-Aminobenzamide","NC(=O)c1ccc(N)cc1","industrial","DTXSID7038814","2835-68-9","QIKYZXDTTPVVAC-UHFFFAOYSA-N",13
"4-Fluorobenzoylpropionic acid","O=C(O)CCC(=O)c1ccc(F)cc1","pharmaceutical","DTXSID30190084","366-77-8","WUYWHIAAQYQKPP-UHFFFAOYSA-N",1
"4-Formyl-antipyrine","Cc1c(C=O)c(=O)n(-c2ccccc2)n1C","pharmaceutical","DTXSID10241720","950-81-2","QFYZFYDOEJZMDX-UHFFFAOYSA-N",9
"4-Hydroxybenzotriazole","Oc1cccc2[nH]nnc12","corrosion inhibitor","DTXSID90374722","26725-51-9","JMTMSDXUXJISAY-UHFFFAOYSA-N",5
"4-Hydroxyquinoline","O=c1cc[nH]c2ccccc12","industrial","DTXSID50209980","611-36-9","PMZDQRJGMBOQBF-UHFFFAOYSA-N",28
"4-Hydroxytamoxifen","CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1","pharmaceutical","DTXSID3037094","68392-35-8","TXUZVZSFRXZGTL-UHFFFAOYSA-N",2
"4-Methylbenzylidene camphor","Cc1ccc(/C=C2/C(=O)C3(C)CCC2C3(C)C)cc1","UV filter","DTXSID8047896","36861-47-9","HEOCBCNFKCOKBX-UHFFFAOYSA-N",5
"4-Nitroguaiacol","COc1cc([N+](=O)[O-])ccc1O",NA,"DTXSID4062935","3251-56-7","IZLVFLOBTPURLP-UHFFFAOYSA-N",1
"4-Nitroquinoline-1-oxide","O=[N+]([O-])c1cc[n+]([O-])c2ccccc12","industrial","DTXSID5025780","56-57-5","YHQDZJICGQWFHK-UHFFFAOYSA-N",4
"5-Chlorobenzotriazole","Clc1ccc2n[nH]nc2c1","corrosion inhibitor","DTXSID0047450","94-97-3","PZBQVZFITSVHAW-UHFFFAOYSA-N",1
"5-Methyl-1H-benzotriazole","Cc1ccc2n[nH]nc2c1","corrosion inhibitor","DTXSID1038743","136-85-6","LRUDIIUSNGCQKF-UHFFFAOYSA-N",107
"6:2 fluorotelomer sulfonic acid","O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","PFC","DTXSID6067331","27619-97-2","VIONGDJUYAYOPU-UHFFFAOYSA-N",25
"7-(Ethylamino)-4-methylcoumarin","CCNc1ccc2c(C)cc(=O)oc2c1","dye","DTXSID1067417","28821-18-3","OTNIKUTWXUODJZ-UHFFFAOYSA-N",7
"7-Amino-4-methylcoumarin","Cc1cc(=O)oc2cc(N)ccc12","dye","DTXSID40885333","26093-31-2","GLNDAGDHSLMOKX-UHFFFAOYSA-N",23
"7-Diethylamino-4-methylcoumarin","CCN(CC)c1ccc2c(C)cc(=O)oc2c1","dye","DTXSID9025035","91-44-1","AFYCEAFSNDLKSX-UHFFFAOYSA-N",7
"Acesulfame","CC1=CC(=O)NS(=O)(=O)O1","sweetener","DTXSID0048006","33665-90-6","YGCFIWIQZPHFLU-UHFFFAOYSA-N",113
"Acetaminophen","CC(=O)Nc1ccc(O)cc1","pharmaceutical","DTXSID2020006","103-90-2","RZVAJINKPMORJF-UHFFFAOYSA-N",21
"Acetamiprid","CC(=NC#N)N(C)Cc1ccc(Cl)nc1","pesticide","DTXSID0034300","135410-20-7","WCXDHFDTOYPNIE-RIYZIHGNSA-N",15
"Acetyl-sulfamethoxazole","CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1","pharmaceutical","DTXSID8049044","21312-10-7","GXPIUNZCALHVBA-UHFFFAOYSA-N",43
