chemical_name,alt_names,casrn,inchikey,mdl_value_ng_L,n_sources,all_reported_values_ng_L,limit_types_reported,source_files
(3-Chloro-2-hydroxypropyl)trimethylammonium,,3327-22-8,XIUCEANTZSXBQQ-UHFFFAOYSA-N,50.0,1,50.0,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
(4-Sulfophenyl)acetic acid,,153661-28-0,KGJGWDQUGUEMIW-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
(Benzothiazol-2-ylthio)methyl thiocyanate,,21564-17-0,TUBQDCKAWGHZPF-UHFFFAOYSA-N,0.5,2,0.5; 12.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
(Methoxymethyl)triphenylphosphonium,,NOCAS,SDMCZCALYDCRBH-UHFFFAOYSA-N,0.5,2,0.5; 1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,1,1-Tris(4-hydroxyphenyl)ethane",,27955-94-8,BRPSWMCDEYMRPE-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,1-dichloro-2,2-bis(4-methoxyphenyl)ethan",,7388-31-0,RBEICLNUPBZRMH-UHFFFAOYSA-N,5.503211872088054,1,5.503211872088054,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2,4,5-Tetrachlorobenzene",,95-94-3,JHBKHLUZVFWLAG-UHFFFAOYSA-N,1.5436581122471886,1,1.5436581122471886,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2,4-Triazole",,288-88-0,NSPMIYGKQJPBQR-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2,4-Trichlorobenzene",,120-82-1,PBKONEOXTCPAFI-UHFFFAOYSA-N,6.780017741303517,1,6.780017741303517,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2-Benzisothiazolinone",,2634-33-5,DMSMPAJRVJJAGA-UHFFFAOYSA-N,2.0,3,2.0; 17.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2-Dichlorobenzene",,95-50-1,RFFLAFLAYFXFSW-UHFFFAOYSA-N,45.001005223536566,1,45.001005223536566,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,3-Dichlorobenzene",,541-73-1,ZPQOPVIELGIULI-UHFFFAOYSA-N,26.115527788084023,1,26.115527788084023,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,3-Dimethyl-2-imidazolidinone",,80-73-9,CYSGHNMQYZDMIA-UHFFFAOYSA-N,0.5,3,0.5; 20.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,3-Diphenylguanidine",,102-06-7,OWRCNXZUPFZXOS-UHFFFAOYSA-N,0.1,4,0.1; 0.5; 2.0; 5.0,LOQ; MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,3-Diphenylurea",,102-07-8,GWEHVDNNLFDJLR-UHFFFAOYSA-N,0.5,2,0.5; 0.6,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,4-Dichlorobenzene",,106-46-7,OCJBOOLMMGQPQU-UHFFFAOYSA-N,45.866753327720915,1,45.866753327720915,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,5-Naphthalenediamine",,2243-62-1,KQSABULTKYLFEV-UHFFFAOYSA-N,0.3,2,0.3; 0.5,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,7-Diaminophenazine",,28124-29-0,FRPNYDRHOLAYDZ-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1-(3-carboxypropyl)-3,7-dimethylxanthine",,6493-07-8,WKASGTGXOGALBG-UHFFFAOYSA-N,0.5,2,0.5; 10.0,MDL,FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-(3-Chlorophenyl)-piperazine,,6640-24-0,VHFVKMTVMIZMIK-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-(3-Trifluoromethylphenyl)-piperazine,,15532-75-9,KKIMDKMETPPURN-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Benzylpiperazine,,2759-28-6,IQXXEPZFOOTTBA-UHFFFAOYSA-N,0.5,2,0.5; 0.9,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Butyl-3-methyl-imidazolium,1-Butyl-3-methyl-imidazolium_M+,79917-90-1,IQQRAVYLUAZUGX-UHFFFAOYSA-N,0.1,4,0.1; 0.5; 1.0,LOQ; MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
