"Compound","EC10_ngL"
"(3-Chloro-2-hydroxypropyl)trimethylammonium",132192840
"1,2-Benzisothiazolinone",129617.3
"1,3-Dimethyl-2-imidazolidinone",17110235
"1,3-Diphenylguanidine",1379080.5
"1,3-Diphenylurea",2023171.2
"1,5-Naphthalenediamine",5773929
"1,7-Diaminophenazine",139349.13
"1-(3-carboxypropyl)-3,7-dimethylxanthine",34504.41
"1-Benzylpiperazine",681967.6
"1-Butyl-3-methyl-imidazolium",485341.97
"1-Cyclohexyl-3-phenylurea",4088498
"1-Dodecanesulfonic acid",5025895.6
"1-Ethyl-3-methyl-imidazolium",792106.3
"1-Hexanesulfonic acid",2453354.1
"10,11-Dihydro-10,11-dihydroxycarbamazepine",1600148.3
"10,11-Dihydro-10-hydroxycarbamazepine",1388321.3
"1H-Benzotriazole",5683360
"2(4-morpholinyl)benzothiazole",464938.88
"2,2,6,6-Tetramethyl-4 piperidone",14074523
"2,2,6,6-Tetramethylpiperidin-4-ol",88033585
"2,3-Epoxypropyltrimethylammonium",133707670
"2,4-Dichlorobenzoic acid",22864067
"2,4-Dichlorophenol",347982.82
"2,4-Dichlorophenoxyacetic acid",35588150
"2,4-Dinitrophenol",4454395.3
"2,6-Dichlorobenzamide",151137440
"2-(2-(2-Methoxyethoxy)ethoxy)ethanol",1354268.3
"2-(2-Pyridyl)ethanol",246669450
"2-(Methylthio)benzothiazole",611853.06
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP)",217715.6
"2-Aminobenzimidazole",1503769.8
"2-Benzothiazolesulfonic acid",177863280
"2-Hydroxyatrazine",839015.7
"2-Hydroxybenzothiazole",555992.6
"2-Hydroxycarbamazepine",922773
"2-Hydroxydesethylterbuthylazine",8511.638
"2-Hydroxyquinoline",5390840
"2-Isopropyl-6-methyl-pyrimidin-4-ol",3018887
"2-Isopropylthioxanthone",32079.652
"2-Methylbenzothiazole",669225.5
"2-Naphthalene sulfonic acid",153536150
"2-Naphthol-8-sulfonic acid",42093880
"2-Octyl-4-isothiazolin-3-one",28880.6
"3,5,6-Trichloro-2-pyridinol",252994.92
