cmpdname,SMILES
(3-Chloro-2-hydroxypropyl)trimethylammonium,C[N+](C)(C)CC(O)CCl
"1,2-Benzisothiazolinone",O=c1[nH]sc2ccccc12
"1,3-Dimethyl-2-imidazolidinone",CN1CCN(C)C1=O
"1,3-Diphenylguanidine",NC(=Nc1ccccc1)Nc1ccccc1
"1,3-Diphenylurea",O=C(Nc1ccccc1)Nc1ccccc1
"1,5-Naphthalenediamine",Nc1cccc2c(N)cccc12
"1,7-Diaminophenazine",Nc1ccc2nc3c(N)cccc3nc2c1
"1-(3-carboxypropyl)-3,7-dimethylxanthine",Cn1cnc2c1c(=O)n(CCCC(=O)O)c(=O)n2C
1-Benzylpiperazine,c1ccc(CN2CCNCC2)cc1
1-Butyl-3-methyl-imidazolium,CCCCn1cc[n+](C)c1
1-Cyclohexyl-3-phenylurea,O=C(Nc1ccccc1)NC1CCCCC1
1-Dodecanesulfonic acid,CCCCCCCCCCCCS(=O)(=O)O
1-Ethyl-3-methyl-imidazolium,CCn1cc[n+](C)c1
1-Hexanesulfonic acid,CCCCCCS(=O)(=O)O
"10,11-Dihydro-10,11-dihydroxycarbamazepine",NC(=O)N1c2ccccc2C(O)C(O)c2ccccc21
"10,11-Dihydro-10-hydroxycarbamazepine",NC(=O)N1c2ccccc2CC(O)c2ccccc21
1H-Benzotriazole,c1ccc2n[nH]nc2c1
2(4-morpholinyl)benzothiazole,c1ccc2sc(N3CCOCC3)nc2c1
"2,2,6,6-Tetramethyl-4 piperidone",CC1(C)CC(=O)CC(C)(C)N1
"2,2,6,6-Tetramethylpiperidin-4-ol",CC1(C)CC(O)CC(C)(C)N1
"2,3-Epoxypropyltrimethylammonium",C[N+](C)(C)CC1CO1
"2,4-Dichlorobenzoic acid",O=C(O)c1ccc(Cl)cc1Cl
"2,4-Dichlorophenol",Oc1ccc(Cl)cc1Cl
"2,4-Dichlorophenoxyacetic acid",O=C(O)COc1ccc(Cl)cc1Cl
"2,4-Dinitrophenol",O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
"2,6-Dichlorobenzamide",NC(=O)c1c(Cl)cccc1Cl
2-(2-(2-Methoxyethoxy)ethoxy)ethanol,COCCOCCOCCO
2-(2-Pyridyl)ethanol,OCCc1ccccn1
2-(Methylthio)benzothiazole,CSc1nc2ccccc2s1
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP)",Cn1c(N)nc2ncc(-c3ccccc3)cc21
2-Aminobenzimidazole,Nc1nc2ccccc2[nH]1
2-Benzothiazolesulfonic acid,O=S(=O)(O)c1nc2ccccc2s1
2-Hydroxyatrazine,CCNc1nc(NC(C)C)[nH]c(=O)n1
2-Hydroxybenzothiazole,Oc1nc2ccccc2s1
2-Hydroxycarbamazepine,NC(=O)N1c2ccccc2C=Cc2cc(O)ccc21
2-Hydroxydesethylterbuthylazine,CC(C)(C)Nc1nc(N)nc(O)n1
2-Hydroxyquinoline,O=c1ccc2ccccc2[nH]1
2-Isopropyl-6-methyl-pyrimidin-4-ol,Cc1cc(=O)[nH]c(C(C)C)n1
2-Isopropylthioxanthone,CC(C)c1ccc2sc3ccccc3c(=O)c2c1
2-Methylbenzothiazole,Cc1nc2ccccc2s1
2-Naphthalene sulfonic acid,O=S(=O)(O)c1ccc2ccccc2c1
2-Naphthol-8-sulfonic acid,O=S(=O)(O)c1cccc2ccc(O)cc12
2-Octyl-4-isothiazolin-3-one,CCCCCCCCn1sccc1=O
"3,5,6-Trichloro-2-pyridinol",Oc1nc(Cl)c(Cl)cc1Cl
"3-Cyclohexyl-1,1-dimethylurea",CN(C)C(=O)NC1CCCCC1
4'-Aminoacetanilide,CC(=O)Nc1ccc(N)cc1
"4,4'-Methylene-bis(2-methyl aniline)",Cc1cc(Cc2ccc(N)c(C)c2)ccc1N
4-(Dimethylamino)pyridine,CN(C)c1cc[nH+]cc1
4-Aminoantipyrine,Cc1c(N)c(=O)n(-c2ccccc2)n1C
4-Aminobenzamide,NC(=O)c1ccc(N)cc1
4-Fluorobenzoylpropionic acid,O=C(O)CCC(=O)c1ccc(F)cc1
4-Formyl-antipyrine,Cc1c(C=O)c(=O)n(-c2ccccc2)n1C
4-Hydroxybenzotriazole,Oc1cccc2[nH]nnc12
4-Hydroxyquinoline,O=c1cc[nH]c2ccccc12
4-Hydroxytamoxifen,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
4-Methylbenzylidene camphor,Cc1ccc(/C=C2/C(=O)C3(C)CCC2C3(C)C)cc1
4-Nitroguaiacol,COc1cc([N+](=O)[O-])ccc1O
4-Nitroquinoline-1-oxide,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12
5-Chlorobenzotriazole,Clc1ccc2n[nH]nc2c1
5-Methyl-1H-benzotriazole,Cc1ccc2n[nH]nc2c1
6:2 fluorotelomer sulfonic acid,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
7-(Ethylamino)-4-methylcoumarin,CCNc1ccc2c(C)cc(=O)oc2c1
7-Amino-4-methylcoumarin,Cc1cc(=O)oc2cc(N)ccc12
7-Diethylamino-4-methylcoumarin,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
Acesulfame,CC1=CC(=O)NS(=O)(=O)O1
Acetaminophen,CC(=O)Nc1ccc(O)cc1
Acetamiprid,CC(=NC#N)N(C)Cc1ccc(Cl)nc1
Acetyl-sulfamethoxazole,CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1
Acridone,O=c1c2ccccc2[nH]c2ccccc12
Acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
Albendazole,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
Amantadine,NC12CC3CC(CC(C3)C1)C2
Ametryn,CCNc1nc(NC(C)C)nc(SC)n1
Amidosulfobetaine-14,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCS(=O)(=O)[O-]
Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21
Amphetamine,C[C@H](N)Cc1ccccc1
Anastrozole,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1
Azelaic acid,O=C(O)CCCCCCCC(=O)O
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Azoxystrobin,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
Azoxystrobin acid,CO/C=C(/C(=O)O)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
Benalaxyl,COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C
Bendiocarb,CNC(=O)Oc1cccc2c1OC(C)(C)O2
Bentazone,CC(C)N1C(=O)c2ccccc2NS1(=O)=O
Benzenesulfonic acid,O=S(=O)(O)c1ccccc1
Benzidine,Nc1ccc(-c2ccc(N)cc2)cc1
Benzimidazole,c1ccc2[nH]cnc2c1
Benzocain,CCOC(=O)c1ccc(N)cc1
Benzophenone-3,COc1ccc(C(=O)c2ccccc2)c(O)c1
Benzophenone-4,COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O
Benzothiazole,c1ccc2scnc2c1
Benzoylecgonin,CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2
Benzyldimethyldodecylammonium,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1
Bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
Bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
Bifenox free acid,O=C(O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
Bisphenol S,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1
Boscalid,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl
Bupirimate,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
Capecitabine,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21
Carbendazim,COC(=O)Nc1nc2ccccc2[nH]1
Carbetamide,CCNC(=O)[C@H](C)OC(=O)Nc1ccccc1
Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
Cetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
Chenodeoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
Chloramphenicol,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
Chloridazon,Nc1cnn(-c2ccccc2)c(=O)c1Cl
Chlormequat,C[N+](C)(C)CCCl
Chlorothalonil-4-hydroxy,N#Cc1c(O)c(Cl)c(Cl)c(C#N)c1Cl
Chlorotoluron,Cc1ccc(NC(=O)N(C)C)cc1Cl
Cholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
Cimetidine,CN=C(NC#N)NCCSCc1nc[nH]c1C
Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
Clarithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
Climbazole,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1
Clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
Clofibric acid,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
Clomazone,CC1(C)CON(Cc2ccccc2Cl)C1=O
Clonidine,Clc1cccc(Cl)c1NC1=NCCN1
Clopidogrel,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
Clothianidin,CN=C(NCc1cnc(Cl)s1)N[N+](=O)[O-]
Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
Cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
Cotinine,CN1C(=O)CCC1c1cccnc1
Coumestrol,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12
Cyclamate,O=S(=O)(O)NC1CCCCC1
Cyclohexylamine,NC1CCCCC1
Cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1
Cyproconazole,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1
Cyprodinil,Cc1cc(C2CC2)nc(Nc2ccccc2)n1
Cyromazine,Nc1nc(N)nc(NC2CC2)n1
DEET,CCN(CC)C(=O)c1cccc(C)c1
DEET carboxylic acid,CCN(CC)C(=O)c1cccc(C(=O)O)c1
Daidzein,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
Daminozide,CN(C)NC(=O)CCC(=O)O
Decylsulfate,CCCCCCCCCCOS(=O)(=O)O
Denatonium,CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1
Desethyl-napropamide,CCNC(=O)C(C)Oc1cccc2ccccc12
Desethylatrazine,CC(C)Nc1nc(N)nc(Cl)n1
Desethylterbutylazine,CC(C)(C)Nc1nc(N)nc(Cl)n1
Desisopropylatrazine,CCNc1nc(N)nc(Cl)n1
Desphenyl chloridazon,Nc1cn[nH]c(=O)c1Cl
Di-n-butyl phosphate,CCCCOP(=O)(O)OCCCC
Diacetylethylenediamine,CC(=O)NCCNC(C)=O
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
Dichlorprop,CC(Oc1ccc(Cl)cc1Cl)C(=O)O
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
Dicyclohexyl sulfosuccinate,O=C(CC(C(=O)OC1CCCCC1)S(=O)(=O)O)OC1CCCCC1
Dicyclohexylurea,O=C(NC1CCCCC1)NC1CCCCC1
Diethofencarb,CCOc1ccc(NC(=O)OC(C)C)cc1OCC
Diethyleneglycolmonomethylether,COCCOCCO
Difenoconazole,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
Dimethachlor CGA369873,Cc1cccc(C)c1NC(=O)CS(=O)(=O)O
Dimethachlor ESA,COCCN(C(=O)CS(=O)(=O)O)c1c(C)cccc1C
Dimethachlor OA_peak_b,COCCN(C(=O)C(=O)O)c1c(C)cccc1C
Dimethenamid,COCC(C)N(C(=O)CCl)c1c(C)csc1C
Dimethenamid ESA,COCC(C)N(C(=O)CS(=O)(=O)O)c1c(C)csc1C
Dimethenamid OA,COCC(C)N(C(=O)C(=O)O)c1c(C)csc1C
Dimethoate,CNC(=O)CSP(=S)(OC)OC
Dimethyl-5-sulfoisophthalate,COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1
Dimethylaminophenazone,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
Dimoxystrobin,CNC(=O)/C(=N/OC)c1ccccc1COc1cc(C)ccc1C
Dinoseb,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1
Diphenyl phosphate,O=P(O)(Oc1ccccc1)Oc1ccccc1
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
Duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
EDDP,CC=C1N(C)C(C)CC1(c1ccccc1)c1ccccc1
