unit,n_sites,rho_lionessglasso,p_emp_lionessglasso,rho_bonobo_same_skeleton
Basin_Basque_Country_internal_basins,20,0.811,0.0002,-0.002
Basin_Danube,127,0.282,0.0016,0.017
Basin_Elbe,153,0.629,0.0,-0.3
Basin_Rhine,63,0.746,0.0,-0.126
Basin_Tajo,27,0.494,0.0058,-0.109
Danube_Lower,48,0.011,0.9432,0.383
Danube_Middle,44,0.196,0.2098,-0.136
Danube_Upper,35,0.586,0.0008,-0.014
Rhine_Lower,50,0.746,0.0,-0.217
Sec_Danube_Lower,42,-0.042,0.7998,0.434
Sec_Danube_Middle,42,0.09,0.5744,0.093
Sec_Danube_Upper,43,0.568,0.0,-0.11
Sec_Elbe_Lower,50,0.49,0.0008,-0.221
Sec_Elbe_Middle,50,0.625,0.0,-0.23
Sec_Elbe_Upper,50,0.454,0.002,-0.148
Sec_Rhine_Lower,30,0.575,0.0014,-0.026
Sec_Rhine_Upper,30,0.77,0.0,-0.089
