"n","beta2","power","median_p"
50,0,0.05,0.51955934612536
100,0,0,0.519541945656131
200,0,0.1,0.442322884116851
500,0,0,0.691608340011078
50,0.3,0.3,0.0931073715709036
100,0.3,0.8,0.0193696763431454
200,0.3,0.9,0.000168528926756566
500,0.3,1,6.61007784549092e-09
50,0.6,0.3,0.176497309144986
100,0.6,0.75,0.0134168606305731
200,0.6,1,0.000270028790416965
500,0.6,1,2.08321296432262e-07
50,1,0.35,0.235874991429984
100,1,0.6,0.0221940108335441
200,1,0.95,0.000375472637291181
500,1,1,3.1776434785594e-07
