"kind","unit","label","method","site","mean_weight","sd_weight","n_edges_on_skeleton","mean_weight_on_skeleton","strength_skeleton","within_module_mean"
"tu","Danube_Upper","Upper Danube","lioness","EUS_051",0.321229243680561,0.731362591644217,278,0.928627721506077,264.383317397265,0.922370642688959
"tu","Danube_Upper","Upper Danube","lioness","EUS_082",0.134791716839778,1.28020177370585,278,0.73494004706467,253.05294341207,0.735819044585463
"tu","Danube_Upper","Upper Danube","lioness","EUS_096",0.140311637791331,0.651478669077721,278,0.743693848360026,236.31135847378,0.752748180755821
"tu","Danube_Upper","Upper Danube","lioness","EUS_097",0.147518383763976,0.629112477888238,278,0.79399494145751,228.393631419088,0.810007788883499
"tu","Danube_Upper","Upper Danube","lioness","EUS_103",0.30366810127278,0.767743279956294,278,0.841193032700189,243.446461090119,0.853793154018804
"tu","Danube_Upper","Upper Danube","lioness","EUS_104",0.223388137666157,0.746065289619358,278,0.796988533683153,233.72774865547,0.832188452639608
"tu","Danube_Upper","Upper Danube","lioness","EUS_105",0.109265592380828,0.634459107619767,278,0.874163807915709,246.091896199015,0.892678952302472
"tu","Danube_Upper","Upper Danube","lioness","EUS_106",0.0838887401173085,0.673507276852604,278,0.862654458475783,251.115854562788,0.871563406543308
"tu","Danube_Upper","Upper Danube","lioness","EUS_107",0.237661229180974,0.804985495526779,278,0.800084490808315,250.568751271331,0.784091543828396
"tu","Danube_Upper","Upper Danube","lioness","EUS_108",-0.00604141010062136,1.67696395628477,278,0.654122906294447,291.317490771309,0.777674548152773
"tu","Danube_Upper","Upper Danube","lioness","EUS_109",0.129844939345987,0.82782429087272,278,0.786754543750729,259.466409867305,0.845270204560435
"tu","Danube_Upper","Upper Danube","lioness","EUS_110",0.29394495821765,1.45802599487334,278,0.723996130477109,321.524271168938,0.845037463387076
"tu","Danube_Upper","Upper Danube","lioness","EUS_170",0.111053624627226,0.771159677100531,278,0.58354884699087,252.20243524142,0.55499447157391
"tu","Danube_Upper","Upper Danube","lioness","EUS_171",0.385162498417123,0.608571725483027,278,0.806192790020987,246.541014176953,0.792321065164374
"tu","Danube_Upper","Upper Danube","lioness","EUS_172",0.30950590849252,0.550810399624044,278,0.76167980611181,233.421126275786,0.748983080969696
"tu","Danube_Upper","Upper Danube","lioness","EUS_181",1.6012123226415,2.4349537792917,278,1.7181496999015,507.78238240125,1.6344540555876
"tu","Danube_Upper","Upper Danube","lioness","EUS_182",-0.0010597587313662,0.946720925884854,278,0.465349869055209,269.517757329493,0.406495620473269
"tu","Danube_Upper","Upper Danube","lioness","EUS_183",2.30255659066879,3.9308596941855,278,2.63098655147744,744.137505203585,2.44506014936797
"tu","Danube_Upper","Upper Danube","lioness","EUS_301",0.204725704374593,0.759266273792951,278,0.839666413081053,235.618723254164,0.846913655888729
"tu","Danube_Upper","Upper Danube","lioness","EUS_302",0.24940955830235,0.417562668744188,278,0.844125411567365,234.666864415728,0.85154408800527
"tu","Danube_Upper","Upper Danube","lioness","EUS_303",0.220388680567152,0.428721767228683,278,0.851657663736291,237.587610755758,0.85758331373218
"tu","Danube_Upper","Upper Danube","lioness","EUS_304",0.153752947804445,0.604333284517278,278,0.854168927394406,237.458961815645,0.857949009494358
"tu","Danube_Upper","Upper Danube","lioness","EUS_305",0.328124128144601,0.600607522963021,278,0.83960229416448,239.33795375624,0.854985154855812
"tu","Danube_Upper","Upper Danube","lioness","EUS_306",0.253165103713561,0.522582522538205,278,0.838337452050326,234.721467605264,0.84397728278634
"tu","Danube_Upper","Upper Danube","lioness","EUS_307",0.25644726887944,0.472621669047102,278,0.848953324816584,236.00902429901,0.863166500546377
"tu","Danube_Upper","Upper Danube","lioness","EUS_308",0.268572561703219,0.458551153779331,278,0.864370832898223,240.295091545706,0.870516570655883
"tu","Danube_Upper","Upper Danube","lioness","EUS_309",0.217656007123366,0.57822528413815,278,0.830081439973039,233.99861839486,0.828375040954499
"tu","Danube_Upper","Upper Danube","lioness","EUS_310",0.246293659196742,0.459814205396568,278,0.85264994829528,237.036685626088,0.855357840000154
"tu","Danube_Upper","Upper Danube","lioness","EUS_311",0.102685742451467,1.04094331095793,278,0.847825485650469,244.543123813583,0.850689355886102
"tu","Danube_Upper","Upper Danube","lioness","EUS_312",0.137409303676313,1.26718316448557,278,0.834735826000538,244.455535503997,0.843709463270425
"tu","Danube_Upper","Upper Danube","lioness","EUS_376",0.149349327172028,0.925896475299451,278,0.929600088936409,258.428824724322,0.926400254889001
"tu","Danube_Upper","Upper Danube","lioness","EUS_377",0.0823321193972896,1.10276577709584,278,0.930316412595815,258.777459200097,0.924475827096793
"tu","Danube_Upper","Upper Danube","lioness","EUS_378",0.354923909828995,0.714880226021246,278,0.909415800489334,259.765121306343,0.898420355502167
"tu","Danube_Upper","Upper Danube","lioness","EUS_379",0.0261812310680133,1.34583618523275,278,0.671349782645223,246.339538819573,0.706150902436273
"tu","Danube_Upper","Upper Danube","lioness","EUS_380",0.0748509977600338,1.11305267274548,278,0.845785892648358,242.014178613166,0.845758715263783
"tu","Danube_Upper","Upper Danube","bonobo","EUS_051",0.285834065727028,0.281457307735106,278,0.870411672609826,241.974444985532,0.874884497917521
"tu","Danube_Upper","Upper Danube","bonobo","EUS_082",0.255192689427569,0.285894907834027,278,0.848432045402103,235.864108621785,0.854291134445387
"tu","Danube_Upper","Upper Danube","bonobo","EUS_096",0.26016050886113,0.273291234435884,278,0.8487235363443,235.945143103715,0.855571397696365
"tu","Danube_Upper","Upper Danube","bonobo","EUS_097",0.260344868745505,0.275173900297878,278,0.853336965483106,237.227676404303,0.860589138112604
