"kind","unit","method","n_sites","spearman_strength_vs_sumTU","mean_within_module"
"conc","Basin_Basque_Country_internal_basins","bonobo",20,-0.254,0.906
"conc","Basin_Basque_Country_internal_basins","lioness",20,0.011,0.913
"conc","Basin_Danube","bonobo",127,-0.033,0.653
"conc","Basin_Danube","lioness",127,0.062,0.663
"conc","Basin_Elbe","bonobo",153,-0.36,0.647
"conc","Basin_Elbe","lioness",153,-0.068,0.653
"conc","Basin_Rhine","bonobo",63,-0.215,0.786
"conc","Basin_Rhine","lioness",63,0.303,0.793
"conc","Basin_Tajo","bonobo",27,-0.136,0.919
"conc","Basin_Tajo","lioness",27,-0.068,0.923
"conc","Danube_Lower","bonobo",48,0.427,0.753
"conc","Danube_Lower","lioness",48,0.282,0.763
"conc","Danube_Middle","bonobo",44,-0.147,0.725
"conc","Danube_Middle","lioness",44,-0.091,0.738
"conc","Danube_Upper","bonobo",35,-0.154,0.867
"conc","Danube_Upper","lioness",35,0.462,0.887
"conc","Rhine_Lower","bonobo",50,-0.166,0.816
"conc","Rhine_Lower","lioness",50,0.235,0.823
"conc","Sec_Danube_Lower","bonobo",42,0.509,0.799
"conc","Sec_Danube_Lower","lioness",42,0.367,0.808
"conc","Sec_Danube_Middle","bonobo",42,0.039,0.796
"conc","Sec_Danube_Middle","lioness",42,0.102,0.817
"conc","Sec_Danube_Upper","bonobo",43,-0.153,0.8
"conc","Sec_Danube_Upper","lioness",43,0.466,0.818
"conc","Sec_Elbe_Lower","bonobo",50,-0.339,0.808
"conc","Sec_Elbe_Lower","lioness",50,-0.067,0.821
"conc","Sec_Elbe_Middle","bonobo",50,-0.212,0.788
"conc","Sec_Elbe_Middle","lioness",50,0.064,0.793
"conc","Sec_Elbe_Upper","bonobo",50,-0.118,0.737
"conc","Sec_Elbe_Upper","lioness",50,-0.084,0.76
"conc","Sec_Rhine_Lower","bonobo",30,0.037,0.907
"conc","Sec_Rhine_Lower","lioness",30,0.136,0.91
"conc","Sec_Rhine_Upper","bonobo",30,-0.092,0.911
"conc","Sec_Rhine_Upper","lioness",30,0.253,0.914
"tu","Basin_Basque_Country_internal_basins","bonobo",20,-0.254,0.906
"tu","Basin_Basque_Country_internal_basins","lioness",20,0.011,0.913
"tu","Basin_Danube","bonobo",127,-0.034,0.653
"tu","Basin_Danube","lioness",127,0.065,0.663
"tu","Basin_Elbe","bonobo",153,-0.36,0.647
"tu","Basin_Elbe","lioness",153,-0.069,0.652
"tu","Basin_Rhine","bonobo",63,-0.217,0.786
"tu","Basin_Rhine","lioness",63,0.303,0.793
"tu","Basin_Tajo","bonobo",27,-0.136,0.919
"tu","Basin_Tajo","lioness",27,-0.068,0.923
"tu","Danube_Lower","bonobo",48,0.427,0.753
"tu","Danube_Lower","lioness",48,0.282,0.763
"tu","Danube_Middle","bonobo",44,-0.147,0.725
"tu","Danube_Middle","lioness",44,-0.091,0.738
"tu","Danube_Upper","bonobo",35,-0.154,0.866
"tu","Danube_Upper","lioness",35,0.462,0.887
"tu","Rhine_Lower","bonobo",50,-0.167,0.816
"tu","Rhine_Lower","lioness",50,0.235,0.823
"tu","Sec_Danube_Lower","bonobo",42,0.509,0.799
"tu","Sec_Danube_Lower","lioness",42,0.367,0.808
"tu","Sec_Danube_Middle","bonobo",42,0.039,0.796
"tu","Sec_Danube_Middle","lioness",42,0.102,0.817
"tu","Sec_Danube_Upper","bonobo",43,-0.153,0.8
"tu","Sec_Danube_Upper","lioness",43,0.466,0.818
"tu","Sec_Elbe_Lower","bonobo",50,-0.339,0.808
"tu","Sec_Elbe_Lower","lioness",50,-0.067,0.821
"tu","Sec_Elbe_Middle","bonobo",50,-0.212,0.788
"tu","Sec_Elbe_Middle","lioness",50,0.064,0.792
"tu","Sec_Elbe_Upper","bonobo",50,-0.117,0.738
"tu","Sec_Elbe_Upper","lioness",50,-0.084,0.761
"tu","Sec_Rhine_Lower","bonobo",30,0.037,0.907
"tu","Sec_Rhine_Lower","lioness",30,0.136,0.91
"tu","Sec_Rhine_Upper","bonobo",30,-0.089,0.911
"tu","Sec_Rhine_Upper","lioness",30,0.253,0.914
