kind,unit,label,method,site,mean_weight,sd_weight,n_edges_on_skeleton,mean_weight_on_skeleton,strength_skeleton,within_module_mean,strength_lioness,sum_tu,river_basin,stream_order,UDF,lat,lon,n_det,mean_log,basin
conc,Danube_Upper,Upper Danube,bonobo,EUS_051,0.281923647748674,0.283146725016873,278,0.87038182736956,241.966148008738,0.874859643614957,264.383317397233,0.15155393056276273,Danube,1.0,0.0,49.745228,12.122372,20,-0.12791765562173482,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_082,0.251281108117345,0.287837427597274,278,0.848487851194441,235.879622632055,0.854345167356186,253.052943412041,1.19554240414162,Danube,4.0,16.6,48.6871108323948,16.9894285542993,85,0.6118970641582959,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_096,0.256361948556981,0.275295213811461,278,0.848779108378749,235.960592129292,0.85562093858652,236.311358473766,0.08649168536805202,Danube,1.0,0.0,48.390928,15.696507,55,0.2646412414624924,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_097,0.256526080750247,0.2771883404474,278,0.8533777875041,237.23902492614,0.860623455340684,228.393631419072,0.09745168702841188,Danube,5.0,9.1,46.709944,15.634373,59,0.30018858494170925,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_103,0.280403770681197,0.277752817961884,278,0.85945026889677,238.927174753302,0.865935867365947,243.446461090098,0.08911273919470683,Danube,2.0,0.0,49.490173,16.694152,24,-0.08162467248747811,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_104,0.269812972021059,0.278038135665543,278,0.854079850586281,237.434198462986,0.863415579558819,233.727748655451,0.181945815125964,Danube,2.0,,49.48904,16.692684,35,0.030156097558925066,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_105,0.25127496533002,0.283250201743447,278,0.864255643260283,240.263068826359,0.871610080386223,246.091896198992,0.892971738652728,Danube,3.0,15.9,49.542607,16.573452,66,0.3546267092703947,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_106,0.248426673881465,0.286441913515048,278,0.862807041988955,239.860357672929,0.868927055991299,251.115854562775,0.8951632811250023,Danube,3.0,15.9,49.542243,16.573741,72,0.43756772447944897,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_107,0.271975435799369,0.27809716542582,278,0.855671683570367,237.876728032562,0.858824052320008,250.568751271307,0.5719985786078498,Danube,1.0,0.0,49.379365,16.760357,29,-0.029187718101116235,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_108,0.240546577656457,0.317966926438165,278,0.844076570372925,234.653286563673,0.863891100213972,291.317490771308,2.512309309806107,Danube,4.0,13.7,49.565749,17.267724,85,0.7313252392781769,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_109,0.252288693077385,0.290975315115882,278,0.854570749928575,237.570668480144,0.866091362897587,259.466409867285,1.5120992663951274,Danube,3.0,7.6,49.347639,16.65102,85,0.5981336399423118,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_110,0.266601733383893,0.313491201696896,278,0.849991476186117,236.297630379741,0.865854803563471,321.524271168874,2.280295374469408,Danube,3.0,7.6,49.343754,16.648637,101,0.8758985941923136,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_170,0.25287459698449,0.274894484700452,278,0.834963665956643,232.119899135947,0.837909453525061,252.20243524141,0.6328253346440894,Danube,4.0,35.2,49.125151,16.627226,90,0.5583049649516597,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_171,0.289001708764439,0.267433147063727,278,0.856598510842431,238.134386014196,0.860240954101686,246.541014176938,0.010286742776225892,Danube,4.0,4.0,48.110907,14.896042,22,-0.11197425849773202,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_172,0.278891787846591,0.271809517382542,278,0.852065635905771,236.874246781804,0.85575753808813,233.421126275757,0.06969552003676066,Danube,5.0,8.0,48.413553,10.888442,36,-0.00695289643945359,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_181,0.366665586022779,0.336621301230006,278,0.913228478538387,253.877517033672,0.914713885064062,507.782382401214,1.611080861706665,Danube,7.0,9.2,49.123616,16.627051,144,1.4102464814797293,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_182,0.244352787799606,0.279394095475599,278,0.824189470676447,229.124672848052,0.824351587938109,269.517757329476,0.4469779027641194,Danube,4.0,19.4,48.11049,14.897041,66,0.3560769055313901,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_183,0.381862530460293,0.371472362674837,278,0.925084328526288,257.173443330308,0.926057792832191,744.13750520353,50.654967121270744,Danube,5.0,8.0,48.414023,10.88854,149,1.6807368249151426,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_301,0.268613747436268,0.272701575190625,278,0.85955027444238,238.954976294982,0.865631455786707,235.61872325414,0.7523148487659005,Danube,5.0,20.9,48.42402048,10.02624817,47,0.11842735762268973,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_302,0.269037166338368,0.277140303267806,278,0.860028946115878,239.088047020214,0.866103101912204,234.666864415708,0.03515283307195662,Danube,6.0,16.3,48.73335642,11.14445055,50,0.1264096513225632,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_303,0.264684865644005,0.279662472512446,278,0.861230841179841,239.422173847996,0.867095493353793,237.587610755754,0.1156856877397936,Danube,6.0,10.9,48.91633554,11.86649367,54,0.19733723256746036,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_304,0.256927073958783,0.282734730929144,278,0.861545313555358,239.509597168389,0.867048406887592,237.458961815625,0.16001282090583283,Danube,6.0,11.1,48.77267035,13.0101508,66,0.32889959552275533,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_305,0.2815086534923,0.27824204888425,278,0.859909520246378,239.054846628493,0.867100183404963,239.337953756218,0.37059074826024124,Danube,6.0,5.8,48.55724283,13.43597663,26,-0.03318650907940004,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_306,0.270806932459115,0.28137201240517,278,0.859679260646548,238.99083445974,0.86544770007831,234.721467605243,0.029778693261143924,Danube,7.0,7.6,48.52084906,13.70232057,44,0.10779941617116093,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_307,0.270229059618575,0.282598483168178,278,0.860745252350071,239.28718015332,0.867722930356932,236.009024298986,0.27991550778230123,Danube,7.0,8.4,48.24100774,14.51473092,42,0.1089218713996816,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_308,0.272218170642483,0.280936520974033,278,0.862965729604632,239.904472830088,0.868832918362877,240.295091545685,0.17747946192273503,Danube,7.0,7.8,48.38560425,15.53280995,44,0.09444021973657811,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_309,0.266560158012604,0.283073348780183,278,0.858326819936161,238.614855942253,0.863109198835348,233.998618394839,0.28966412197452157,Danube,7.0,7.9,48.32964293,16.33237286,45,0.14197273109324055,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_310,0.268525628653671,0.282335511448026,278,0.861312056986111,239.444751842139,0.866678625773442,237.036685626066,0.1788624215444959,Danube,7.0,8.7,48.15125675,16.94446796,45,0.14061418606623874,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_311,0.251774400427232,0.285884707425691,278,0.860898299703567,239.329727317592,0.866310160544583,244.543123813567,0.29409355668537257,Danube,1.0,0.0,48.72353966,16.88493834,80,0.539881612012347,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_312,0.256195080596695,0.288877128268429,278,0.858123263077983,238.558267135679,0.863932656433545,244.455535503974,0.5685715218487053,Danube,4.0,16.6,48.68704724,16.98848745,89,0.602276060616423,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_376,0.260309338347528,0.312249397276108,278,0.871106675474047,242.167655781785,0.875989920164371,258.428824724302,0.040445367783267745,Danube,1.0,0.0,48.456463,10.965202,35,0.06353959083342609,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_377,0.255284749739686,0.315114348022742,278,0.871072973782438,242.158286711518,0.875727782957086,258.777459200076,0.08573552729391933,Danube,1.0,0.0,48.424693,12.72698,34,0.10658079815044255,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_378,0.285858147703862,0.281386036717517,278,0.868654102659595,241.485840539367,0.872715848566579,259.765121306332,0.009508945059313236,Danube,1.0,0.0,48.414723,10.942116,16,-0.13764301377682472,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_379,0.250228559818221,0.287729753257803,278,0.842247229099508,234.144729689663,0.85298912885619,246.339538819562,0.20090146035999687,Danube,1.0,,48.420842,12.728327,47,0.2404655756188376,Danube
conc,Danube_Upper,Upper Danube,bonobo,EUS_380,0.252377853961985,0.315101014862849,278,0.860653188057706,239.261586280042,0.866128411449711,242.014178613147,0.11947653902586271,Danube,1.0,0.0,48.631298,12.899675,40,0.12822507657995796,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_001,0.146054689651381,0.322805408877332,235,0.732443045290642,187.257552179202,0.726401849978228,264.341047094911,0.6543876470893533,Danube,5.0,5.0,46.076255,14.637157,46,0.2399210431742569,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_002,0.169618684420154,0.28753778580918,235,0.722127778858477,183.775252826459,0.713141233139071,199.544575913647,0.22823965029596635,Danube,3.0,0.6,46.001086,14.469558,39,0.06758508726496969,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_003,0.244492587877658,0.402455283179514,235,0.783512547990526,198.482066647252,0.770829705084157,580.230135513853,0.8078211992227314,Danube,5.0,5.0,46.072357,14.63525,111,1.0753424926533413,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_004,0.153035638796818,0.302332943649841,235,0.71470364681991,183.199067763205,0.711303952010207,214.767176927847,0.18797746022291717,Danube,5.0,5.0,46.087919,14.677909,68,0.3580368919677585,Danube
