unit,label,n_sites,rho_bonobo,p_emp_bonobo,rho_lioness
Basin_Basque_Country_internal_basins,Basque (basin),20,-0.2541353383458646,0.2756,0.011
Basin_Danube,Danube (basin),127,-0.03327709036370457,0.711,0.062
Basin_Elbe,Elbe (basin),153,-0.36020532614959855,0.0,-0.068
Basin_Rhine,Rhine (basin),63,-0.21510176651305682,0.0938,0.303
Basin_Tajo,Tajo (basin),27,-0.13614163614163613,0.4986,-0.068
Danube_Lower,Danube Lower,48,0.42705167173252295,0.0032,0.282
Danube_Middle,Danube Middle,44,-0.14686398872445383,0.3406,-0.091
Danube_Upper,Danube Upper,35,-0.153781512605042,0.3796,0.462
Rhine_Lower,Rhine Lower,50,-0.16629051620648258,0.2502,0.235
Sec_Danube_Lower,Danube Lower (sec.),42,0.5086297706830889,0.0006,0.367
Sec_Danube_Middle,Danube Middle (sec.),42,0.03897577181751884,0.7996,0.102
Sec_Danube_Upper,Danube Upper (sec.),43,-0.15342796738145575,0.3156,0.466
Sec_Elbe_Lower,Elbe Lower (sec.),50,-0.33906362545018004,0.0186,-0.067
Sec_Elbe_Middle,Elbe Middle (sec.),50,-0.2115246098439376,0.1378,0.064
Sec_Elbe_Upper,Elbe Upper (sec.),50,-0.11807923169267708,0.41,-0.084
Sec_Rhine_Lower,Rhine Lower (sec.),30,0.03670745272525025,0.8524,0.136
Sec_Rhine_Upper,Rhine Upper (sec.),30,-0.09232480533926586,0.6196,0.253
