backbone,test,statistic,p_value,method
correlation (S7),sign count (13/17 negative),13.0,0.0242,permutation (5000)
correlation (S7),median rho across units,-0.1469,0.0006,permutation (5000)
correlation (S7),Stouffer Z (bonobo),-2.56,0.0105,normal theory
correlation (S7),Stouffer Z (bonobo),-2.56,0.0048,permutation (5000)
correlation (S7),Stouffer Z (lioness),3.76,0.0002,normal theory
correlation (S7),FE OLS slope log(1+sum-TU) (bonobo),0.1093,0.0582,"basin FE, cluster SE"
correlation (S7),Huber robust FE slope (bonobo),-0.005,0.8834,"basin FE, robust"
glasso (S8),sign count negative (lioness_glasso),1.0,1.0,permutation
glasso (S8),median rho (lioness_glasso),0.5678,1.0,permutation
glasso (S8),Stouffer Z (lioness_glasso),15.508,3.0604452623479366e-54,normal theory
glasso (S8),Stouffer Z (lioness_glasso),15.508,1.0,permutation
glasso (S8),"Stouffer Z (bonobo, same skeleton)",-1.6648,0.09594588527572914,normal theory
